Site,start_lon,start_lat,end_lon,end_lat,Distance.m,true.Distance.m,elevation.m
DC1,-81.278,31.389111,-81.277889,31.389408,0,0,0.509722292
DC1,-81.278,31.389111,-81.277889,31.389408,1,0.996648386,0.74244231
DC1,-81.278,31.389111,-81.277889,31.389408,2,1.993296772,0.835855961
DC1,-81.278,31.389111,-81.277889,31.389408,3,2.989945158,0.897735655
DC1,-81.278,31.389111,-81.277889,31.389408,4,3.986593544,0.917983055
DC1,-81.278,31.389111,-81.277889,31.389408,5,4.98324193,0.89399302
DC1,-81.278,31.389111,-81.277889,31.389408,6,5.979890316,0.871300459
DC1,-81.278,31.389111,-81.277889,31.389408,7,6.976538702,0.840371311
DC1,-81.278,31.389111,-81.277889,31.389408,8,7.973187088,0.818432868
DC1,-81.278,31.389111,-81.277889,31.389408,9,8.969835474,0.842211545
DC1,-81.278,31.389111,-81.277889,31.389408,10,9.96648386,0.866208911
DC1,-81.278,31.389111,-81.277889,31.389408,11,10.96313225,0.869245768
DC1,-81.278,31.389111,-81.277889,31.389408,12,11.95978063,0.869245768
DC1,-81.278,31.389111,-81.277889,31.389408,13,12.95642902,0.810512245
DC1,-81.278,31.389111,-81.277889,31.389408,14,13.9530774,0.795605779
DC1,-81.278,31.389111,-81.277889,31.389408,15,14.94972579,0.798027515
DC1,-81.278,31.389111,-81.277889,31.389408,16,15.94637418,0.773047805
DC1,-81.278,31.389111,-81.277889,31.389408,17,16.94302256,0.729228079
DC1,-81.278,31.389111,-81.277889,31.389408,18,17.93967095,0.710880339
DC1,-81.278,31.389111,-81.277889,31.389408,19,18.93631933,0.67016232
DC1,-81.278,31.389111,-81.277889,31.389408,20,19.93296772,0.67016232
DC1,-81.278,31.389111,-81.277889,31.389408,21,20.92961611,0.634240389
DC1,-81.278,31.389111,-81.277889,31.389408,22,21.92626449,0.617794871
DC1,-81.278,31.389111,-81.277889,31.389408,23,22.92291288,0.582949758
DC1,-81.278,31.389111,-81.277889,31.389408,24,23.91956127,0.587236106
DC1,-81.278,31.389111,-81.277889,31.389408,25,24.91620965,0.575700819
DC1,-81.278,31.389111,-81.277889,31.389408,26,25.91285804,0.586645663
DC1,-81.278,31.389111,-81.277889,31.389408,27,26.90950642,0.586645663
DC1,-81.278,31.389111,-81.277889,31.389408,28,27.90615481,0.60938549
DC1,-81.278,31.389111,-81.277889,31.389408,29,28.90280319,0.616482139
DC1,-81.278,31.389111,-81.277889,31.389408,30,29.89945158,0.60531342
DC1,-81.278,31.389111,-81.277889,31.389408,31,30.89609997,0.602383316
DC2,-81.270189,31.392828,-81.270464,31.392964,0,0,0.498715132
DC2,-81.270189,31.392828,-81.270464,31.392964,1,0.999505882,0.453285515
DC2,-81.270189,31.392828,-81.270464,31.392964,2,1.999011763,0.742843747
DC2,-81.270189,31.392828,-81.270464,31.392964,3,2.998517644,0.772770464
DC2,-81.270189,31.392828,-81.270464,31.392964,4,3.998023526,0.788688004
DC2,-81.270189,31.392828,-81.270464,31.392964,5,4.997529407,0.751435399
DC2,-81.270189,31.392828,-81.270464,31.392964,6,5.997035289,0.734847188
DC2,-81.270189,31.392828,-81.270464,31.392964,7,6.99654117,0.73534888
DC2,-81.270189,31.392828,-81.270464,31.392964,8,7.996047052,0.728082299
DC2,-81.270189,31.392828,-81.270464,31.392964,9,8.995552933,0.730051458
DC2,-81.270189,31.392828,-81.270464,31.392964,10,9.995058814,0.733833849
DC2,-81.270189,31.392828,-81.270464,31.392964,11,10.9945647,0.785103023
DC2,-81.270189,31.392828,-81.270464,31.392964,12,11.99407058,0.765199363
DC2,-81.270189,31.392828,-81.270464,31.392964,13,12.99357646,0.832860827
DC2,-81.270189,31.392828,-81.270464,31.392964,14,13.99308234,0.847400069
DC2,-81.270189,31.392828,-81.270464,31.392964,15,14.99258822,0.883226097
DC2,-81.270189,31.392828,-81.270464,31.392964,16,15.9920941,0.883226097
DC2,-81.270189,31.392828,-81.270464,31.392964,17,16.99159998,0.895023584
DC2,-81.270189,31.392828,-81.270464,31.392964,18,17.99110587,0.858420372
DC2,-81.270189,31.392828,-81.270464,31.392964,19,18.99061175,0.882085979
DC2,-81.270189,31.392828,-81.270464,31.392964,20,19.99011763,0.865464807
DC2,-81.270189,31.392828,-81.270464,31.392964,21,20.98962351,0.906458855
DC2,-81.270189,31.392828,-81.270464,31.392964,22,21.98912939,0.901899219
DC2,-81.270189,31.392828,-81.270464,31.392964,23,22.98863527,0.883374095
DC2,-81.270189,31.392828,-81.270464,31.392964,24,23.98814115,0.883374095
DC2,-81.270189,31.392828,-81.270464,31.392964,25,24.98764704,0.877788484
DC2,-81.270189,31.392828,-81.270464,31.392964,26,25.98715292,0.87561816
DC2,-81.270189,31.392828,-81.270464,31.392964,27,26.9866588,0.890529394
DC2,-81.270189,31.392828,-81.270464,31.392964,28,27.98616468,0.881920636
DC2,-81.270189,31.392828,-81.270464,31.392964,29,28.98567056,0.853096902
DC2,-81.270189,31.392828,-81.270464,31.392964,30,29.98517644,0.833558738
DC2,-81.270189,31.392828,-81.270464,31.392964,31,30.98468232,0.811217308
DC3,-81.270497,31.392294,-81.27077,31.39242,0,0,0.682841599
DC3,-81.270497,31.392294,-81.27077,31.39242,1,0.972057188,0.961747825
DC3,-81.270497,31.392294,-81.27077,31.39242,2,1.944114375,1.049119949
DC3,-81.270497,31.392294,-81.27077,31.39242,3,2.916171563,1.058797956
DC3,-81.270497,31.392294,-81.27077,31.39242,4,3.88822875,1.036087275
DC3,-81.270497,31.392294,-81.27077,31.39242,5,4.860285938,1.020554423
DC3,-81.270497,31.392294,-81.27077,31.39242,6,5.832343125,1.024666071
DC3,-81.270497,31.392294,-81.27077,31.39242,7,6.804400313,1.024453878
DC3,-81.270497,31.392294,-81.27077,31.39242,8,7.776457501,1.018320203
DC3,-81.270497,31.392294,-81.27077,31.39242,9,8.748514688,1.068693161
DC3,-81.270497,31.392294,-81.27077,31.39242,10,9.720571875,1.074701905
DC3,-81.270497,31.392294,-81.27077,31.39242,11,10.69262906,1.056395769
DC3,-81.270497,31.392294,-81.27077,31.39242,12,11.66468625,1.038396478
DC3,-81.270497,31.392294,-81.27077,31.39242,13,12.63674344,1.025807619
DC3,-81.270497,31.392294,-81.27077,31.39242,14,13.60880063,1.03218472
DC3,-81.270497,31.392294,-81.27077,31.39242,15,14.58085781,1.025745153
DC3,-81.270497,31.392294,-81.27077,31.39242,16,15.552915,1.014090538
DC3,-81.270497,31.392294,-81.27077,31.39242,17,16.52497219,0.983595908
DC3,-81.270497,31.392294,-81.27077,31.39242,18,17.49702938,0.925362468
DC3,-81.270497,31.392294,-81.27077,31.39242,19,18.46908656,0.913190961
